PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_IJK, CLUSTER,4,1.24E-06,9.12E-05
MATMUL_IJK, CLUSTER,8,3.02E-06,4.78E-05
MATMUL_IJK, CLUSTER,16,3.90E-05,0.00013584
MATMUL_IJK, CLUSTER,32,0.000177441,0.000236574
MATMUL_IJK, CLUSTER,64,0.002170834,0.00233826
MATMUL_IJK, CLUSTER,128,0.011649977,0.012310884
MATMUL_IJK, CLUSTER,256,0.147180707,0.15146212
MATMUL_IJK, CLUSTER,512,0.919924854,0.950417664
MATMUL_IJK, CLUSTER,1024,9.082900617,9.12034694
MATMUL_IJK,LAB207,4,4.72E-07,9.22E-06
MATMUL_IJK,LAB207,8,2.42E-06,1.28E-05
MATMUL_IJK,LAB207,16,1.68E-05,2.84E-05
MATMUL_IJK,LAB207,32,0.000145485,0.000151474
MATMUL_IJK,LAB207,64,0.001168368,0.001230242
MATMUL_IJK,LAB207,128,0.008825153,0.008743388
MATMUL_IJK,LAB207,256,0.081189448,0.082337084
MATMUL_IJK,LAB207,512,0.743937021,0.766770056
MATMUL_IJK,LAB207,1024,8.784296646,8.91091398
